Category,category_id,Subcategory,subcategory_id,amount,time
議会費,1,議会費,1,383498000,2015
総務費,2,総務管理費,2,2533392000,2015
総務費,3,徴税費,3,445225000,2015
総務費,4,戸籍住民基本台帳費,4,232842000,2015
総務費,5,選挙費,5,136867000,2015
総務費,6,統計調査費,6,53353000,2015
総務費,7,監査委員費,7,29207000,2015
民生費,8,社会福祉費,8,6823963000,2015
民生費,9,児童福祉費,9,5430603000,2015
民生費,10,生活保護費,10,4514957000,2015
民生費,11,国民年金費,11,16855000,2015
民生費,12,人権政策費,12,61427000,2015
民生費,13,災害救助費,13,510000,2015
民生費,14,国民健康保険事業費,14,1011531000,2015
衛生費,15,保健衛生費,15,2401541000,2015
衛生費,16,清掃費,16,2097288000,2015
衛生費,17,水道事業会計繰出金,17,6929000,2015
農林業費,18,農林業費,18,265422000,2015
商工費,19,商工費,19,148058000,2015
土木費,20,土木管理費,20,81516000,2015
土木費,21,道路橋梁費,21,364267000,2015
土木費,22,河川費,22,35871000,2015
土木費,23,都市計画費,23,2748483000,2015
土木費,24,住宅費,24,109027000,2015
消防費,25,消防費,25,1463574000,2015
教育費,26,教育総務費,26,372656000,2015
教育費,27,小学校費,27,1276839000,2015
教育費,28,中学校費,28,611011000,2015
教育費,29,幼稚園費,29,545594000,2015
教育費,30,社会教育費,30,952235000,2015
教育費,31,保健体育費,31,209864000,2015
災害復旧費,32,公共土木施設等災害復旧費,32,30000000,2015
公債費,33,公債費,33,2253695000,2015
予備費,34,予備費,34,30000000,2015